2024-09-25 11:08:07.445 [main] INFO  org.example.Main - Start of Execution.
2024-09-25 11:08:21.804 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 11:08:21.815 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(3.9999999999) = 1.999999999975
2024-09-25 11:08:21.815 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 11:08:32.349 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 11:08:32.354 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 7! = 5040
2024-09-25 11:08:32.354 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 11:08:52.008 [main] INFO  org.example.Main - START OP: Power
2024-09-25 11:08:52.024 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (2.0)^(18.0) = 262144.0
2024-09-25 11:08:52.024 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:21:16.373 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:21:16.380 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (2.0)^(3.0) = 8.0
2024-09-25 13:21:16.380 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:21:16.380 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:21:16.380 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (5.0)^(0.0) = 1.0
2024-09-25 13:21:16.381 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:21:16.381 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:21:16.381 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (0.0)^(5.0) = 0.0
2024-09-25 13:21:16.381 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:21:16.381 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:21:16.381 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (0.0)^(0.0) = 1.0
2024-09-25 13:21:16.381 [main] INFO  org.example.Main - END OP: Power
2024-09-25 13:21:16.383 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:21:16.386 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 5! = 120
2024-09-25 13:21:16.386 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:21:16.386 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:21:16.387 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 0! = 1
2024-09-25 13:21:16.387 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:21:16.387 [main] INFO  org.example.Main - START OP: Factorial
2024-09-25 13:21:16.387 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 1! = 1
2024-09-25 13:21:16.387 [main] INFO  org.example.Main - END OP: Factorial
2024-09-25 13:21:16.388 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:21:16.391 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(2.718281828459045) = 1.0
2024-09-25 13:21:16.391 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:21:16.392 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:21:16.392 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(1.0) = 0.0
2024-09-25 13:21:16.392 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-25 13:21:16.394 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-25 13:21:16.394 [main] ERROR org.example.Main - Natural log is defined for positive real numbers only!
2024-09-25 13:21:16.395 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:21:16.396 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(16.0) = 4.0
2024-09-25 13:21:16.396 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:21:16.396 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:21:16.396 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(0.0) = 0.0
2024-09-25 13:21:16.396 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:21:16.396 [main] INFO  org.example.Main - START OP: Square Root
2024-09-25 13:21:16.396 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(25.0) = 5.0
2024-09-25 13:21:16.396 [main] INFO  org.example.Main - END OP: Square Root
2024-09-25 13:37:56.178 [main] INFO  org.example.Main - START OP: Power
2024-09-25 13:37:56.187 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] (2.0)^(3.0) = 8.0
2024-09-25 13:37:56.187 [main] INFO  org.example.Main - END OP: Power
